,date,day_of_week,is_weekend,day_of_month,month,year,is_holiday,season,lag_1,lag_2,lag_7,lag_14,lag_month,lag_year,rolling_mean_3,rolling_std_7,rolling_max_7,rolling_mean_7_lag_7,total_trips_all_routes,trips_from_mont_royal_all,trips_to_berri_all,total_rolling_mean_3,total_rolling_std_7,total_lag_7,trip_count
0,2014-04-15,1,0,15,4,2014,0,2,,,,,,,,,,,,,,,,,1
1,2014-04-16,2,0,16,4,2014,0,2,1.0,,,,,,,,,,1981.0,25.0,27.0,,,,3
2,2014-04-17,3,0,17,4,2014,0,2,3.0,1.0,,,,,,,,,3776.0,45.0,41.0,,,,3
3,2014-04-18,4,0,18,4,2014,1,2,3.0,3.0,,,,,2.3333333333333335,,,,6553.0,75.0,64.0,4103.333333333333,1269.2566722298527,,2
4,2014-04-19,5,1,19,4,2014,0,2,2.0,3.0,,,,,2.6666666666666665,,,,5967.0,77.0,58.0,5432.0,2303.509568752284,,1
5,2014-04-20,6,1,20,4,2014,0,2,1.0,2.0,,,,,2.0,,,,6252.0,89.0,54.0,6257.333333333333,2098.9880696818327,,1
6,2014-04-22,1,0,22,4,2014,0,2,1.0,1.0,,,,,1.3333333333333333,,,,7601.0,83.0,44.0,6724.666666666667,1852.1103278872633,,5
7,2014-04-23,2,0,23,4,2014,0,2,5.0,1.0,1.0,,,,2.3333333333333335,1.4960264830861913,5.0,,5910.0,83.0,67.0,6610.666666666667,1929.4143325544842,1981.0,2
8,2014-04-24,3,0,24,4,2014,0,2,2.0,5.0,3.0,,,,2.6666666666666665,1.3972762620115438,5.0,,10210.0,90.0,83.0,7907.0,1152.554512707275,3776.0,2
9,2014-04-25,4,0,25,4,2014,0,2,2.0,2.0,3.0,,,,3.0,1.3801311186847083,5.0,,12113.0,111.0,97.0,9411.0,1534.9213722688273,6553.0,2
10,2014-04-26,5,1,26,4,2014,0,2,2.0,2.0,2.0,,,,2.0,1.3451854182690985,5.0,,13082.0,113.0,111.0,11801.666666666666,2448.0641136951267,5967.0,1
11,2014-04-27,6,1,27,4,2014,0,2,1.0,2.0,1.0,,,,1.6666666666666667,1.414213562373095,5.0,,3621.0,54.0,17.0,9605.333333333334,2992.3591266519375,6252.0,3
12,2014-04-28,0,0,28,4,2014,0,2,3.0,1.0,1.0,,,,2.0,1.3801311186847083,5.0,,6664.0,74.0,64.0,7789.0,3487.6614760364246,6321.0,1
13,2014-04-29,1,0,29,4,2014,0,2,1.0,3.0,5.0,,,,1.6666666666666667,1.3801311186847083,5.0,2.2857142857142856,12418.0,117.0,98.0,7567.666666666667,3455.7116832998727,7601.0,1
14,2014-04-30,2,0,30,4,2014,0,2,1.0,1.0,2.0,1.0,,,1.6666666666666667,0.7559289460184542,3.0,2.4285714285714284,14070.0,116.0,121.0,11050.666666666666,3725.831176043938,5910.0,2
15,2014-05-01,3,0,1,5,2014,0,2,2.0,1.0,2.0,3.0,,,1.3333333333333333,0.7559289460184542,3.0,2.2857142857142856,7235.0,81.0,59.0,11241.0,3820.1676415471366,10210.0,2
16,2014-05-02,4,0,2,5,2014,0,2,2.0,2.0,2.0,3.0,,,1.6666666666666667,0.7559289460184542,3.0,2.142857142857143,10557.0,100.0,85.0,10620.666666666666,3994.7910845905085,12113.0,3
17,2014-05-03,5,1,3,5,2014,0,2,3.0,2.0,1.0,2.0,,,2.3333333333333335,0.8997354108424371,3.0,2.0,13890.0,114.0,103.0,10560.666666666666,3892.201923015276,13082.0,1
18,2014-05-04,6,1,4,5,2014,0,2,1.0,3.0,3.0,1.0,,,2.0,0.8997354108424371,3.0,2.2857142857142856,10047.0,104.0,82.0,11498.0,4020.3385311142524,3621.0,2
19,2014-05-05,0,0,5,5,2014,0,2,2.0,1.0,1.0,1.0,,,2.0,0.7559289460184542,3.0,2.2857142857142856,4587.0,61.0,33.0,9508.0,2978.446223244916,6664.0,1
20,2014-05-06,1,0,6,5,2014,0,2,1.0,2.0,1.0,5.0,,,1.3333333333333333,0.7559289460184542,3.0,1.7142857142857142,14157.0,102.0,104.0,9597.0,3504.2539318730337,12418.0,2
21,2014-05-07,2,0,7,5,2014,0,2,2.0,1.0,2.0,2.0,,,1.6666666666666667,0.6900655593423539,3.0,1.7142857142857142,17070.0,143.0,145.0,11938.0,3725.7548228513374,14070.0,2
22,2014-05-08,3,0,8,5,2014,0,2,2.0,2.0,2.0,2.0,,,1.6666666666666667,0.6900655593423539,3.0,1.7142857142857142,18471.0,146.0,149.0,16566.0,4311.376031583685,7235.0,2
23,2014-05-09,4,0,9,5,2014,0,2,2.0,2.0,3.0,2.0,,,2.0,0.6900655593423539,3.0,1.8571428571428572,18595.0,152.0,130.0,18045.333333333332,4715.043750743843,10557.0,1
24,2014-05-10,5,1,10,5,2014,0,2,1.0,2.0,1.0,1.0,,,1.6666666666666667,0.5345224838248483,2.0,1.8571428571428572,16236.0,146.0,132.0,17767.333333333332,5076.028073208421,13890.0,3
25,2014-05-11,6,1,11,5,2014,0,2,3.0,1.0,2.0,3.0,,,2.0,0.6900655593423539,3.0,1.7142857142857142,14094.0,140.0,109.0,16308.333333333334,5157.3679472049635,10047.0,1
26,2014-05-12,0,0,12,5,2014,0,2,1.0,3.0,1.0,1.0,,,1.6666666666666667,0.7559289460184542,3.0,1.7142857142857142,13533.0,127.0,107.0,14621.0,4835.438405297762,4587.0,1
27,2014-05-13,1,0,13,5,2014,0,2,1.0,1.0,2.0,1.0,,,1.6666666666666667,0.7559289460184542,3.0,1.8571428571428572,19169.0,148.0,112.0,15598.666666666666,2127.305001975168,14157.0,2
28,2014-05-14,2,0,14,5,2014,0,2,2.0,1.0,2.0,2.0,,,1.3333333333333333,0.7559289460184542,3.0,1.8571428571428572,17293.0,128.0,153.0,16665.0,2235.564336976663,17070.0,1
29,2014-05-15,3,0,15,5,2014,0,2,1.0,2.0,2.0,2.0,1.0,,1.3333333333333333,0.7867957924694428,3.0,1.8571428571428572,19048.0,156.0,141.0,18503.333333333332,2242.656789656072,18471.0,6
30,2014-05-17,5,1,17,5,2014,0,2,6.0,1.0,1.0,3.0,3.0,,3.0,1.8644544714716087,6.0,1.5714285714285714,10391.0,91.0,80.0,16657.333333333332,2658.2626442310557,16236.0,7
31,2014-05-19,0,0,19,5,2014,0,2,7.0,6.0,3.0,1.0,1.0,,4.666666666666667,2.516611478423583,7.0,1.8571428571428572,13386.0,128.0,115.0,11764.0,4065.6419337336315,13533.0,1
32,2014-05-20,1,0,20,5,2014,0,2,1.0,7.0,1.0,2.0,1.0,,4.666666666666667,2.627691364061218,7.0,1.7142857142857142,14083.0,124.0,77.0,12994.666666666666,4080.415215800145,19169.0,4
33,2014-05-21,2,0,21,5,2014,0,2,4.0,1.0,1.0,1.0,,,4.0,2.544836041121407,7.0,1.7142857142857142,21185.0,154.0,146.0,16218.0,3848.579298786454,17293.0,4
34,2014-05-22,3,0,22,5,2014,0,2,4.0,4.0,2.0,2.0,5.0,,3.0,2.370453040886408,7.0,1.7142857142857142,21878.0,181.0,164.0,19048.666666666668,4440.587643437255,19048.0,2
35,2014-05-23,4,0,23,5,2014,0,2,2.0,4.0,1.0,2.0,2.0,,3.3333333333333335,2.370453040886408,7.0,1.5714285714285714,15890.0,135.0,112.0,19651.0,4897.831108912248,20533.0,1
36,2014-05-24,5,1,24,5,2014,0,2,1.0,2.0,6.0,2.0,2.0,,2.3333333333333335,2.370453040886408,7.0,2.142857142857143,19001.0,162.0,120.0,18923.0,4501.943537967533,10391.0,2
37,2014-05-26,0,0,26,5,2014,0,2,2.0,1.0,7.0,1.0,1.0,,1.6666666666666667,2.160246899469287,7.0,3.0,16045.0,147.0,119.0,17059.0,3364.976742295626,13386.0,1
38,2014-05-27,1,0,27,5,2014,0,2,1.0,2.0,1.0,3.0,3.0,,1.3333333333333333,1.345185418269099,4.0,2.7142857142857144,15630.0,136.0,86.0,15935.333333333334,2967.577278650366,14083.0,1
39,2014-05-28,2,0,28,5,2014,0,2,1.0,1.0,4.0,1.0,1.0,,1.3333333333333333,1.345185418269099,4.0,3.142857142857143,10798.0,92.0,62.0,14157.666666666666,2694.4717301842143,21185.0,1
40,2014-05-29,3,0,29,5,2014,0,2,1.0,1.0,4.0,1.0,1.0,,1.0,1.1126972805283746,4.0,3.5714285714285716,15712.0,139.0,131.0,14046.666666666666,3395.1085121868814,21878.0,8
