,day_of_week,is_weekend,day_of_month,month,year,is_holiday,season,lag_1,lag_2,lag_7,lag_14,lag_month,lag_year,rolling_mean_3,rolling_std_7,rolling_max_7,rolling_mean_7_lag_7,total_trips_all_routes,trips_from_mont_royal_all,trips_to_berri_all,total_rolling_mean_3,total_rolling_std_7,total_lag_7,trip_bin
0,3,0,15,5,2014,0,2,1.0,2.0,2.0,2.0,1.0,0.0,1.3333333333333333,0.7867957924694428,3.0,1.8571428571428572,19048.0,156.0,141.0,18503.333333333332,2242.656789656072,18471.0,high (5–6)
1,5,1,17,5,2014,0,2,6.0,1.0,1.0,3.0,3.0,0.0,3.0,1.8644544714716087,6.0,1.5714285714285714,10391.0,91.0,80.0,16657.333333333332,2658.2626442310557,16236.0,peak (7+)
2,0,0,19,5,2014,0,2,7.0,6.0,3.0,1.0,1.0,0.0,4.666666666666667,2.516611478423583,7.0,1.8571428571428572,13386.0,128.0,115.0,11764.0,4065.641933733631,13533.0,low (1–2)
3,1,0,20,5,2014,0,2,1.0,7.0,1.0,2.0,1.0,0.0,4.666666666666667,2.627691364061218,7.0,1.7142857142857142,14083.0,124.0,77.0,12994.666666666666,4080.415215800145,19169.0,mid (3–4)
4,3,0,22,5,2014,0,2,4.0,4.0,2.0,2.0,5.0,0.0,3.0,2.370453040886408,7.0,1.7142857142857142,21878.0,181.0,164.0,19048.666666666668,4440.587643437255,19048.0,low (1–2)
5,4,0,23,5,2014,0,2,2.0,4.0,1.0,2.0,2.0,0.0,3.3333333333333335,2.370453040886408,7.0,1.5714285714285714,15890.0,135.0,112.0,19651.0,4897.831108912248,20533.0,low (1–2)
6,5,1,24,5,2014,0,2,1.0,2.0,6.0,2.0,2.0,0.0,2.3333333333333335,2.370453040886408,7.0,2.142857142857143,19001.0,162.0,120.0,18923.0,4501.943537967533,10391.0,low (1–2)
7,0,0,26,5,2014,0,2,2.0,1.0,7.0,1.0,1.0,0.0,1.6666666666666667,2.160246899469287,7.0,3.0,16045.0,147.0,119.0,17059.0,3364.976742295626,13386.0,low (1–2)
8,1,0,27,5,2014,0,2,1.0,2.0,1.0,3.0,3.0,0.0,1.3333333333333333,1.345185418269099,4.0,2.7142857142857144,15630.0,136.0,86.0,15935.333333333334,2967.577278650366,14083.0,low (1–2)
9,2,0,28,5,2014,0,2,1.0,1.0,4.0,1.0,1.0,0.0,1.3333333333333333,1.345185418269099,4.0,3.142857142857143,10798.0,92.0,62.0,14157.666666666666,2694.4717301842143,21185.0,low (1–2)
10,3,0,29,5,2014,0,2,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.1126972805283746,4.0,3.5714285714285716,15712.0,139.0,131.0,14046.666666666666,3395.1085121868814,21878.0,peak (7+)
